property_id,highlights,agency_id,agency_name,salesperson_id,salesperson_name,salesperson_image_path,salesperson_image_url_template
504456484,"Views out to Black Mountain, Fantastic Public Transport links, 4.5-star NABERS Energy rating",CVAMEL,CVA Property Consultants - Melbourne,2557302,Ben Quennell,https://i1.au.reastatic.net/71x88/6dcc733feb3a86f3ce997209dbc56efb131780c9a223d18743d78675d9aee662/main.jpg,https://i1.au.reastatic.net{options}/6dcc733feb3a86f3ce997209dbc56efb131780c9a223d18743d78675d9aee662/main.jpg
504456484,"Views out to Black Mountain, Fantastic Public Transport links, 4.5-star NABERS Energy rating",CVAMEL,CVA Property Consultants - Melbourne,80033,Ian Angelico,https://i1.au.reastatic.net/71x88/90b9652f1beccefbd06628a45a005d691d5b2a0192f97958e4f2dac50c5a3dd7/main.jpg,https://i1.au.reastatic.net{options}/90b9652f1beccefbd06628a45a005d691d5b2a0192f97958e4f2dac50c5a3dd7/main.jpg
504456484,"Views out to Black Mountain, Fantastic Public Transport links, 4.5-star NABERS Energy rating",CVAMEL,CVA Property Consultants - Melbourne,2916519,Anders Skoglund,https://i1.au.reastatic.net/71x88/8021c937d114b3170656a4bdf40976e4e6fddefddeef7b9694b90c34b9f38e10/main.jpg,https://i1.au.reastatic.net{options}/8021c937d114b3170656a4bdf40976e4e6fddefddeef7b9694b90c34b9f38e10/main.jpg
